"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A10",6,"RPL3_e9e10",1.093,-0.0014,"297","240","2"
"A10",7,"RPL3_e9e10",1.0992,-0.0036,"297","240","2"
"A10",8,"RPL3_e9e10",1.1128,0.0015,"297","240","2"
"A10",9,"RPL3_e9e10",1.1232,0.0036,"297","240","2"
"A10",10,"RPL3_e9e10",1.1383,0.0103,"297","240","2"
"A10",11,"RPL3_e9e10",1.1706,0.0341,"297","240","2"
"A10",12,"RPL3_e9e10",1.2226,0.0777,"297","240","2"
"A10",13,"RPL3_e9e10",1.3265,0.1733,"297","240","2"
"A10",14,"RPL3_e9e10",1.5102,0.3486,"297","240","2"
"A10",15,"RPL3_e9e10",1.8619,0.6918,"297","240","2"
"A10",16,"RPL3_e9e10",2.448,1.2695,"297","240","2"
"A10",17,"RPL3_e9e10",3.2115,2.0247,"297","240","2"
"A10",18,"RPL3_e9e10",4.041,2.8457,"297","240","2"
"A10",19,"RPL3_e9e10",4.9018,3.6981,"297","240","2"
"A10",20,"RPL3_e9e10",5.7732,4.5611,"297","240","2"
"A10",21,"RPL3_e9e10",6.6251,5.4046,"297","240","2"
"A10",22,"RPL3_e9e10",7.4574,6.2285,"297","240","2"
"A10",23,"RPL3_e9e10",8.2563,7.019,"297","240","2"
"A10",24,"RPL3_e9e10",8.9626,7.7169,"297","240","2"
"A10",25,"RPL3_e9e10",9.6161,8.362,"297","240","2"
"A10",26,"RPL3_e9e10",10.2786,9.0161,"297","240","2"
"A10",27,"RPL3_e9e10",10.7906,9.5197,"297","240","2"
